key,total_opinion,TRUE_polar_ans,FALSE_polar_ans,accuracy,TP,TN,FP,FN,Positive,Negative
food,26,26,0,100.00%,24,2,0,0,24,2
place,13,11,2,84.62%,11,0,1,1,12,1
service,13,12,1,92.31%,9,3,1,0,10,3
staff,10,10,0,100.00%,10,0,0,0,10,0
restaurant,9,8,1,88.89%,7,1,1,0,8,1
crawfish,6,5,1,83.33%,5,0,1,0,6,0
waiter,6,5,1,83.33%,5,0,0,1,5,1
drinks,6,5,1,83.33%,5,0,1,0,6,0
experience,5,4,1,80.00%,3,1,1,0,4,1
seafood,5,5,0,100.00%,4,1,0,0,4,1
oyster,4,4,0,100.00%,4,0,0,0,4,0
cake,4,2,2,50.00%,1,1,1,1,2,2
gumbo,4,3,1,75.00%,3,0,0,1,3,1
pasta,4,2,2,50.00%,2,0,2,0,4,0
server,4,4,0,100.00%,4,0,0,0,4,0
crab,4,2,2,50.00%,1,1,1,1,2,2
taste,3,3,0,100.00%,3,0,0,0,3,0
portions,3,3,0,100.00%,3,0,0,0,3,0
meal,3,3,0,100.00%,3,0,0,0,3,0
fries,3,2,1,66.67%,2,0,0,1,2,1
hurricane,3,2,1,66.67%,2,0,0,1,2,1
tail,3,3,0,100.00%,3,0,0,0,3,0
new,3,3,0,100.00%,3,0,0,0,3,0
sauce,3,3,0,100.00%,2,1,0,0,2,1
stop,2,2,0,100.00%,2,0,0,0,2,0
beans,2,2,0,100.00%,2,0,0,0,2,0
grill,2,2,0,100.00%,2,0,0,0,2,0
dish,2,1,1,50.00%,1,0,1,0,2,0
reviews,2,0,2,0.00%,0,0,1,1,1,1
everyone,2,2,0,100.00%,2,0,0,0,2,0
waitress,2,2,0,100.00%,2,0,0,0,2,0
rice,2,0,2,0.00%,0,0,1,1,1,1
orleans,2,2,0,100.00%,2,0,0,0,2,0
shrimp,2,2,0,100.00%,1,1,0,0,1,1
fried,2,2,0,100.00%,2,0,0,0,2,0
