key,total_sent,TRUE_polar_ans,FALSE_polar_ans,accuracy,TP,TN,FP,FN,total_opinion,Positive,Negative
food,22,21,1,95.45%,18,3,1,0,26,24,2
place,12,10,2,83.33%,10,0,1,1,13,12,1
service,11,10,1,90.91%,8,2,0,1,13,10,3
restaurant,8,7,1,87.50%,6,1,1,0,9,8,1
staff,6,6,0,100.00%,6,0,0,0,10,10,0
waiter,5,4,1,80.00%,4,0,0,1,6,5,1
drinks,5,4,1,80.00%,3,1,1,0,6,6,0
seafood,5,5,0,100.00%,4,1,0,0,5,4,1
experience,5,4,1,80.00%,3,1,1,0,5,4,1
crawfish,4,3,1,75.00%,3,0,1,0,6,6,0
pasta,4,2,2,50.00%,2,0,1,1,4,4,0
crab,3,1,2,33.33%,1,0,0,2,4,2,2
server,3,3,0,100.00%,3,0,0,0,4,4,0
oyster,3,3,0,100.00%,3,0,0,0,4,4,0
cake,3,1,2,33.33%,1,0,0,2,4,2,2
gumbo,3,2,1,66.67%,2,0,0,1,4,3,1
taste,3,3,0,100.00%,3,0,0,0,3,3,0
new,3,3,0,100.00%,3,0,0,0,3,3,0
meal,3,3,0,100.00%,3,0,0,0,3,3,0
sauce,3,3,0,100.00%,2,1,0,0,3,2,1
hurricane,2,2,0,100.00%,2,0,0,0,3,2,1
fries,2,1,1,50.00%,1,0,0,1,3,2,1
portions,2,2,0,100.00%,2,0,0,0,3,3,0
tail,2,2,0,100.00%,2,0,0,0,3,3,0
line,2,1,1,50.00%,0,1,0,1,2,0,2
bread,2,2,0,100.00%,1,1,0,0,2,1,1
shrimp,2,2,0,100.00%,1,1,0,0,2,1,1
orleans,2,2,0,100.00%,2,0,0,0,2,2,0
everyone,2,1,1,50.00%,1,0,1,0,2,2,0
reviews,2,0,2,0.00%,0,0,1,1,2,1,1
dish,2,1,1,50.00%,1,0,1,0,2,2,0
everything,2,2,0,100.00%,2,0,0,0,2,2,0
beans,2,2,0,100.00%,2,0,0,0,2,2,0
grill,2,2,0,100.00%,2,0,0,0,2,2,0
waitress,2,2,0,100.00%,2,0,0,0,2,2,0
rice,2,0,2,0.00%,0,0,1,1,2,1,1
one,2,1,1,50.00%,0,1,0,1,2,0,2
stop,2,2,0,100.00%,2,0,0,0,2,2,0
french,1,1,0,100.00%,1,0,0,0,2,2,0
sampler,1,0,1,0.00%,0,0,0,1,2,0,2
fried,1,1,0,100.00%,1,0,0,0,2,2,0
orleansit,1,1,0,100.00%,1,0,0,0,1,1,0
beer,1,1,0,100.00%,1,0,0,0,1,1,0
change,1,1,0,100.00%,1,0,0,0,1,1,0
pace,1,1,0,100.00%,1,0,0,0,1,1,0
gator,1,0,1,0.00%,0,0,0,1,1,0,1
errol,1,1,0,100.00%,1,0,0,0,1,1,0
tropical,1,1,0,100.00%,1,0,0,0,1,1,0
storm,1,1,0,100.00%,1,0,0,0,1,1,0
city,1,1,0,100.00%,1,0,0,0,1,1,0
mardi,1,1,0,100.00%,1,0,0,0,1,1,0
gras,1,1,0,100.00%,1,0,0,0,1,1,0
current,1,1,0,100.00%,1,0,0,0,1,1,0
etouffee,1,1,0,100.00%,1,0,0,0,1,1,0
pudding,1,1,0,100.00%,1,0,0,0,1,1,0
entree,1,0,1,0.00%,0,0,1,0,1,1,0
manager,1,1,0,100.00%,1,0,0,0,1,1,0
huge,1,1,0,100.00%,1,0,0,0,1,1,0
bloody,1,1,0,100.00%,1,0,0,0,1,1,0
marys,1,1,0,100.00%,1,0,0,0,1,1,0
poboy,1,1,0,100.00%,1,0,0,0,1,1,0
flavor,1,1,0,100.00%,1,0,0,0,1,1,0
house,1,1,0,100.00%,1,0,0,0,1,1,0
vibe,1,1,0,100.00%,1,0,0,0,1,1,0
training,1,1,0,100.00%,1,0,0,0,1,1,0
bacon,1,1,0,100.00%,1,0,0,0,1,1,0
biscuit,1,1,0,100.00%,1,0,0,0,1,1,0
grits,1,1,0,100.00%,1,0,0,0,1,1,0
serverponce,1,1,0,100.00%,1,0,0,0,1,1,0
jambalaya,1,1,0,100.00%,1,0,0,0,1,1,0
goodness,1,1,0,100.00%,1,0,0,0,1,1,0
location,1,1,0,100.00%,1,0,0,0,1,1,0
catfish,1,1,0,100.00%,1,0,0,0,1,1,0
ponchatran,1,1,0,100.00%,1,0,0,0,1,1,0
waitor,1,1,0,100.00%,1,0,0,0,1,1,0
blackened,1,1,0,100.00%,1,0,0,0,1,1,0
redfish,1,1,0,100.00%,1,0,0,0,1,1,0
greens,1,1,0,100.00%,0,1,0,0,1,0,1
fettuccini,1,0,1,0.00%,0,0,1,0,1,1,0
third,1,1,0,100.00%,1,0,0,0,1,1,0
star,1,1,0,100.00%,1,0,0,0,1,1,0
clubs,1,1,0,100.00%,1,0,0,0,1,1,0
white,1,1,0,100.00%,1,0,0,0,1,1,0
chocolate,1,1,0,100.00%,1,0,0,0,1,1,0
martini,1,1,0,100.00%,1,0,0,0,1,1,0
customer,1,1,0,100.00%,1,0,0,0,1,1,0
breakfast,1,0,1,0.00%,0,0,0,1,1,0,1
platter,1,1,0,100.00%,1,0,0,0,1,1,0
oceana,1,1,0,100.00%,1,0,0,0,1,1,0
wait,1,0,1,0.00%,0,0,0,1,1,0,1
expectations,1,1,0,100.00%,1,0,0,0,1,1,0
met,1,1,0,100.00%,1,0,0,0,1,1,0
patio,1,1,0,100.00%,1,0,0,0,1,1,0
area,1,1,0,100.00%,1,0,0,0,1,1,0
kitchen,1,0,1,0.00%,0,0,0,1,1,0,1
filling,1,0,1,0.00%,0,0,0,1,1,1,0
watermelon,1,1,0,100.00%,1,0,0,0,1,1,0
margarita,1,1,0,100.00%,1,0,0,0,1,1,0
atmosphere,1,1,0,100.00%,1,0,0,0,1,1,0
étouffée,1,1,0,100.00%,1,0,0,0,1,1,0
yep,1,1,0,100.00%,1,0,0,0,1,1,0
well,1,1,0,100.00%,1,0,0,0,1,1,0
single,1,1,0,100.00%,0,1,0,0,1,0,1
appetizers,1,1,0,100.00%,1,0,0,0,1,1,0
bbq,1,1,0,100.00%,0,1,0,0,1,0,1
breading,1,0,1,0.00%,0,0,0,1,1,0,1
dinner,1,1,0,100.00%,0,1,0,0,1,1,0
courtyard,1,1,0,100.00%,1,0,0,0,1,1,0
first,1,1,0,100.00%,1,0,0,0,1,1,0
environment,1,1,0,100.00%,1,0,0,0,1,1,0
blend,1,1,0,100.00%,1,0,0,0,1,1,0
succulent,1,1,0,100.00%,1,0,0,0,1,1,0
vegetables,1,1,0,100.00%,0,1,0,0,1,0,1
doggie,1,1,0,100.00%,1,0,0,0,1,1,0
rating,1,0,1,0.00%,0,0,1,0,1,1,0
po,1,0,1,0.00%,0,0,1,0,1,1,0
boys,1,0,1,0.00%,0,0,1,0,1,1,0
